airport,airport_name,country_code,region_name,latitude,longitude,month,count
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,1,440
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,2,368
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,3,405
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,4,432
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,5,506
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,6,420
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,7,481
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,8,440
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,9,483
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,10,532
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,11,412
ATL,Hartsfield-Jackson Atlanta International Airport,US,Georgia,33.6367,-84.4281,12,395
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,1,263
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,2,283
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,3,282
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,4,306
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,5,253
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,6,274
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,7,262
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,8,261
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,9,303
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,10,358
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,11,245
BOS,Logan International Airport,US,Massachusetts,42.3643,-71.0052,12,244
DCA,Ronald Reagan Washington National Airport,US,Virginia,38.8522,-77.0378,1,137
DCA,Ronald Reagan Washington National Airport,US,Virginia,38.8522,-77.0378,2,143
DCA,Ronald Reagan Washington National Airport,US,Virginia,38.8522,-77.0378,3,204
DCA,Ronald Reagan Washington National Airport,US,Virginia,38.8522,-77.0378,4,195
DCA,Ronald Reagan Washington National Airport,US,Virginia,38.8522,-77.0378,5,174
DCA,Ronald Reagan Washington National Airport,US,Virginia,38.8522,-77.0378,6,160
DCA,Ronald Reagan Washington National Airport,US,Virginia,38.8522,-77.0378,7,159
